mid,scATAC,scRNA,gen.tissue,tissue
ENCSR002WBD,ENCSR486KVX,ENCSR522HNR,heart,right cardiac atrium
ENCSR033MDU,ENCSR690NZI,ENCSR478FQR,pancreas,pancreas
ENCSR068ZQV,ENCSR381NFT,ENCSR769KWM,bile duct,bile duct
ENCSR079UEO,ENCSR169BCG,ENCSR426PDU,heart,heart right ventricle
ENCSR128ZLB,ENCSR083HFN,ENCSR225OII,lung,lung
ENCSR158DQA,ENCSR496XXB,ENCSR261BXB,pancreas,pancreas
ENCSR196FPL,ENCSR465CKP,ENCSR964JZN,ureter,ureter
ENCSR201BHG,ENCSR548IRG,ENCSR813PWQ,heart,Right ventricle myocardium superior
ENCSR212VKB,ENCSR420EWQ,ENCSR362YDM,adrenal gland,adrenal gland
ENCSR218RZE,ENCSR607OJR,ENCSR087YKG,heart,right cardiac atrium
ENCSR222ZFD,ENCSR197GLE,ENCSR938CZJ,ovary,ovary
ENCSR232HQU,ENCSR352RMS,ENCSR716VLR,posterior vena cava,posterior vena cava
ENCSR233SQG,ENCSR229VVY,ENCSR472RRP,pancreas,pancreas
ENCSR245BNT,ENCSR918VTH,ENCSR755CIF,heart,heart left ventricle
ENCSR255POA,ENCSR000XQD,ENCSR471YTA,psoas muscle,psoas muscle
ENCSR264JIX,ENCSR816NWE,ENCSR966DDY,lung,left lung
ENCSR265ZRW,ENCSR435CGY,ENCSR801DHT,heart,heart left ventricle
ENCSR284PXA,ENCSR207ABL,ENCSR789PLK,placenta,placenta
ENCSR300BCB,ENCSR878VJS,ENCSR259VOY,heart,heart left ventricle
ENCSR316WAS,ENCSR868CRK,ENCSR281NBH,pancreas,pancreas
ENCSR320RLS,ENCSR628POB,ENCSR151ONW,heart,Right ventricle myocardium inferior
ENCSR351CSQ,ENCSR299NEP,ENCSR527MGL,heart,left cardiac atrium
ENCSR420IUS,ENCSR815FGT,ENCSR011EDH,fallopian tube,fallopian tube
ENCSR433QBG,ENCSR710NDM,ENCSR337HKS,natural killer cell,natural killer cell
ENCSR449VCG,ENCSR194KHA,ENCSR726IPC,adrenal gland,adrenal gland
ENCSR488VFJ,ENCSR499VTJ,ENCSR943HBF,heart,right cardiac atrium
ENCSR508WRP,ENCSR785BSP,ENCSR727OYO,heart,heart left ventricle
ENCSR511RDV,ENCSR681OLJ,ENCSR258SZI,heart,heart right ventricle
ENCSR521AOG,ENCSR332XEW,ENCSR005TCL,psoas muscle,psoas muscle
ENCSR534YJW,ENCSR588PEE,ENCSR060ZXZ,heart,heart right ventricle
ENCSR549KDX,ENCSR824OCY,ENCSR662VTU,lung,upper lobe of left lung
ENCSR568QKW,ENCSR131DKN,ENCSR481QQR,heart,heart left ventricle
ENCSR573DJW,ENCSR161IHV,ENCSR352DXB,heart,heart left ventricle
ENCSR579NBU,ENCSR828HVB,ENCSR762LZV,uterus,uterus
ENCSR613LBN,ENCSR491LSZ,ENCSR463EEP,heart,left cardiac atrium
ENCSR618WVK,ENCSR139ATR,ENCSR369UFT,liver,left lobe of liver
ENCSR636WIB,ENCSR922FEK,ENCSR460MGC,colon,mucosa of descending colon
ENCSR662XCU,ENCSR693GAD,ENCSR724KET,adrenal gland,adrenal gland
ENCSR694BTU,ENCSR029KFQ,ENCSR021QIA,placenta,placenta
ENCSR727WGO,ENCSR322LEY,ENCSR297ZTQ,ovary,ovary
ENCSR768WQT,ENCSR657WLS,ENCSR751BHQ,heart,heart left ventricle
ENCSR775AZP,ENCSR916EDP,ENCSR203THX,psoas muscle,psoas muscle
ENCSR788DZO,ENCSR630YEA,ENCSR367YUX,liver,right lobe of liver
ENCSR793DNM,ENCSR318ERF,ENCSR405YKM,heart,heart left ventricle
ENCSR808RAT,ENCSR391BWM,ENCSR753YPW,lung,lower lobe of left lung
ENCSR822CXI,ENCSR084DVM,ENCSR439ZVQ,heart,heart left ventricle
ENCSR823KSL,ENCSR533CSY,ENCSR876EUH,ovary,ovary
ENCSR851GBP,ENCSR869LEV,ENCSR281RIH,psoas muscle,psoas muscle
ENCSR871JTA,ENCSR833BMK,ENCSR060SEA,bile duct,bile duct
ENCSR909EGE,ENCSR305VES,ENCSR362HUP,ovary,ovary
ENCSR923FKN,ENCSR777GVP,ENCSR700UVN,heart,left cardiac atrium
ENCSR925IHI,ENCSR830FPR,ENCSR289ANH,colon,left colon
ENCSR956ZER,ENCSR668XPI,ENCSR012APQ,heart,heart left ventricle
ENCSR975IXL,ENCSR105VKN,ENCSR298MPV,ovary,ovary
ENCSR980AFI,ENCSR690KGJ,ENCSR642GFM,fallopian tube,fallopian tube
ENCSR987VTJ,ENCSR425CZQ,ENCSR079LVG,heart,left ventricle myocardium superior
